customer_id,region,contract_type,monthly_price,tenure_months,signup_date,active
C00177,Zaragoza,convergente,59.95,69,2020-02-19,1
C00178,Barcelona,movil_solo,14.95,20,2024-03-03,1
C00179,Zaragoza,fibra_600,37.95,54,2021-05-07,1
C00180,Madrid,fibra_300,29.95,9,2025-02-01,1
C00181,Sevilla,convergente,64.95,7,2025-03-29,1
C00182,Sevilla,movil_solo,14.95,70,2020-01-26,1
C00183,Madrid,fibra_300,31.95,38,2022-09-11,1
C00184,Zaragoza,convergente,59.95,74,2019-09-15,1
C00185,Valencia,fibra_300,29.95,19,2024-03-20,1
C00186,Sevilla,fibra_1000,49.95,8,2025-02-17,1
C00187,Zaragoza,fibra_300,34.95,55,2021-04-09,1
C00188,Valencia,movil_solo,16.95,41,2022-05-29,1
C00189,Barcelona,fibra_1000,49.95,24,2023-10-19,1
C00190,Barcelona,fibra_300,29.95,19,2024-03-16,1
C00191,Madrid,convergente,59.95,54,2021-05-09,1
C00192,Sevilla,fibra_300,29.95,27,2023-08-04,1
C00193,Sevilla,fibra_1000,47.95,69,2020-02-08,1
C00194,Madrid,fibra_1000,49.95,78,2019-05-18,0
C00195,Madrid,fibra_300,31.95,72,2019-11-27,1
C00196,Valencia,fibra_1000,47.95,28,2023-06-16,1
C00197,Zaragoza,fibra_600,44.95,62,2020-08-30,1
C00198,Bilbao,fibra_300,29.95,31,2023-03-30,1
C00199,Valencia,movil_solo,14.95,69,2020-02-11,1
C00200,Valencia,fibra_1000,51.95,64,2020-07-16,1
C00201,Zaragoza,movil_solo,14.95,27,2023-08-03,1
C00202,Madrid,convergente,59.95,19,2024-04-10,1
C00203,Bilbao,convergente,64.95,54,2021-05-17,1
C00204,Valencia,fibra_300,29.95,73,2019-10-08,1
C00205,Bilbao,fibra_1000,49.95,63,2020-08-06,1
C00206,Sevilla,movil_solo,14.95,46,2022-01-16,1
C00207,Bilbao,movil_solo,14.95,70,2020-01-12,1
C00208,Bilbao,fibra_600,37.95,7,2025-03-12,0
C00209,Barcelona,fibra_300,27.95,20,2024-03-11,1
C00210,Sevilla,fibra_1000,47.95,80,2019-03-18,1
C00211,Bilbao,movil_solo,19.95,63,2020-08-29,0
C00212,Bilbao,movil_solo,12.95,3,2025-07-18,1
C00213,Bilbao,fibra_1000,47.95,65,2020-06-04,1
C00214,Sevilla,fibra_300,27.95,13,2024-09-21,1
C00215,Barcelona,convergente,61.95,33,2023-01-20,1
C00216,Sevilla,fibra_600,39.95,52,2021-07-11,1
C00217,Zaragoza,fibra_300,29.95,11,2024-11-16,1
C00218,Zaragoza,fibra_600,37.95,52,2021-07-13,1
C00219,Sevilla,fibra_600,44.95,2,2025-08-11,1
C00220,Sevilla,movil_solo,19.95,43,2022-04-03,1
C00221,Madrid,convergente,57.95,30,2023-05-10,1
C00222,Zaragoza,convergente,59.95,35,2022-12-16,1
C00223,Zaragoza,fibra_1000,51.95,73,2019-10-13,0
C00224,Valencia,fibra_600,39.95,76,2019-08-01,1
C00225,Zaragoza,movil_solo,12.95,39,2022-08-14,1
C00226,Bilbao,movil_solo,19.95,70,2020-01-22,1
C00227,Zaragoza,fibra_300,34.95,11,2024-11-20,1
C00228,Valencia,fibra_600,37.95,56,2021-03-20,1
C00229,Valencia,convergente,61.95,77,2019-06-24,1
C00230,Valencia,fibra_600,44.95,35,2022-11-22,1
C00231,Sevilla,fibra_300,29.95,71,2019-12-21,1
C00232,Zaragoza,convergente,64.95,49,2021-10-21,1
C00233,Valencia,fibra_300,34.95,10,2025-01-03,1
C00234,Sevilla,fibra_300,34.95,50,2021-09-13,1
C00235,Madrid,fibra_600,39.95,57,2021-02-14,1
C00236,Madrid,fibra_300,27.95,24,2023-10-30,1
C00237,Bilbao,convergente,59.95,14,2024-09-07,1
C00238,Bilbao,fibra_600,41.95,77,2019-06-11,1
C00239,Sevilla,fibra_600,39.95,53,2021-06-13,1
C00240,Zaragoza,convergente,59.95,74,2019-09-18,1
C00241,Sevilla,fibra_300,29.95,35,2022-12-08,1
C00242,Barcelona,fibra_600,39.95,56,2021-03-19,1
C00243,Sevilla,fibra_600,39.95,33,2023-02-08,1
C00244,Sevilla,convergente,61.95,26,2023-08-30,1
C00245,Valencia,fibra_600,39.95,43,2022-03-26,1
C00246,Valencia,movil_solo,14.95,56,2021-03-01,1
C00247,Zaragoza,convergente,59.95,39,2022-08-09,1
C00248,Zaragoza,fibra_300,29.95,41,2022-06-15,1
C00249,Valencia,fibra_1000,54.95,82,2019-01-22,1
C00250,Barcelona,fibra_1000,49.95,36,2022-10-22,1
C00251,Valencia,fibra_600,41.95,26,2023-08-26,1
C00252,Barcelona,convergente,57.95,60,2020-11-05,1
C00253,Valencia,fibra_600,39.95,64,2020-07-26,1
C00254,Barcelona,fibra_1000,54.95,20,2024-02-18,1
C00255,Sevilla,fibra_600,39.95,77,2019-06-21,1
C00256,Bilbao,convergente,64.95,54,2021-05-09,0
C00257,Valencia,convergente,61.95,82,2019-01-08,1
C00258,Barcelona,fibra_1000,49.95,83,2018-12-19,0
C00259,Zaragoza,movil_solo,14.95,56,2021-03-24,0
C00260,Valencia,fibra_300,31.95,67,2020-04-14,1
C00261,Bilbao,fibra_300,29.95,48,2021-11-10,1
C00262,Zaragoza,convergente,64.95,65,2020-06-26,1
C00263,Madrid,movil_solo,12.95,38,2022-09-05,1
C00264,Madrid,fibra_600,44.95,19,2024-03-30,1
C00265,Sevilla,fibra_300,31.95,62,2020-09-17,1
C00266,Sevilla,movil_solo,14.95,9,2025-01-26,0
C00267,Zaragoza,fibra_600,37.95,44,2022-03-02,1
C00268,Barcelona,fibra_300,31.95,23,2023-11-25,1
C00269,Bilbao,movil_solo,14.95,30,2023-04-21,1
C00270,Barcelona,fibra_300,34.95,56,2021-03-15,0
C00271,Bilbao,fibra_300,29.95,76,2019-07-23,1
C00272,Zaragoza,fibra_300,29.95,36,2022-10-24,1
C00273,Madrid,convergente,57.95,69,2020-02-26,1
C00274,Barcelona,movil_solo,12.95,34,2022-12-26,1
C00275,Bilbao,fibra_1000,51.95,50,2021-09-04,1
C00276,Madrid,fibra_1000,49.95,59,2020-12-08,1
C00277,Zaragoza,fibra_1000,51.95,76,2019-08-03,1
C00278,Valencia,fibra_600,39.95,40,2022-07-17,1
C00279,Zaragoza,fibra_300,31.95,50,2021-09-10,1
C00280,Bilbao,movil_solo,14.95,24,2023-10-28,1
C00281,Zaragoza,fibra_300,31.95,22,2023-12-27,1
C00282,Barcelona,fibra_1000,49.95,80,2019-04-06,1
C00283,Madrid,movil_solo,14.95,25,2023-09-17,1
C00284,Bilbao,convergente,64.95,64,2020-07-17,1
C00285,Sevilla,movil_solo,14.95,22,2024-01-09,1
C00286,Barcelona,fibra_1000,47.95,36,2022-11-10,1
C00287,Barcelona,movil_solo,16.95,64,2020-07-13,1
C00288,Bilbao,fibra_600,39.95,70,2020-01-06,1
C00289,Bilbao,fibra_600,44.95,57,2021-02-08,1
C00290,Sevilla,fibra_600,44.95,84,2018-11-14,1
C00291,Madrid,movil_solo,14.95,45,2022-01-24,1
C00292,Sevilla,fibra_600,39.95,27,2023-07-20,1
C00293,Zaragoza,fibra_1000,54.95,79,2019-04-17,1
C00294,Bilbao,fibra_300,29.95,27,2023-07-20,0
C00295,Valencia,convergente,59.95,77,2019-06-19,1
C00296,Zaragoza,fibra_1000,49.95,74,2019-09-26,1
C00297,Bilbao,fibra_600,39.95,53,2021-05-27,0
C00298,Valencia,fibra_300,34.95,17,2024-06-02,1
C00299,Valencia,fibra_300,34.95,51,2021-08-09,1
C00300,Zaragoza,fibra_1000,54.95,54,2021-05-14,1
C00301,Zaragoza,fibra_600,39.95,66,2020-05-08,1
C00302,Valencia,movil_solo,14.95,42,2022-05-03,0
C00303,Zaragoza,fibra_600,44.95,59,2020-12-07,1
C00304,Valencia,fibra_600,41.95,51,2021-08-18,1
C00305,Barcelona,movil_solo,14.95,42,2022-04-25,1
C00306,Bilbao,convergente,59.95,73,2019-10-07,1
C00307,Valencia,fibra_600,37.95,13,2024-09-17,1
C00308,Sevilla,fibra_600,37.95,21,2024-01-27,1
C00309,Sevilla,fibra_300,34.95,17,2024-05-12,1
C00310,Barcelona,fibra_1000,47.95,84,2018-11-27,1
C00311,Valencia,fibra_300,27.95,51,2021-08-04,1
C00312,Zaragoza,fibra_300,29.95,84,2018-12-06,1
C00313,Madrid,fibra_300,29.95,10,2025-01-01,1
C00314,Bilbao,movil_solo,12.95,2,2025-08-11,1
C00315,Madrid,movil_solo,19.95,17,2024-05-25,1
C00316,Sevilla,fibra_600,44.95,14,2024-09-04,1
C00317,Valencia,fibra_300,29.95,18,2024-04-20,1
C00318,Barcelona,fibra_600,41.95,73,2019-11-03,1
C00319,Barcelona,movil_solo,14.95,28,2023-06-25,1
C00320,Sevilla,convergente,64.95,57,2021-01-29,1
C00321,Madrid,fibra_300,27.95,76,2019-07-13,1
C00322,Sevilla,fibra_1000,49.95,32,2023-03-09,1
C00323,Barcelona,convergente,61.95,77,2019-06-13,1
C00324,Zaragoza,fibra_600,44.95,39,2022-08-13,1
C00325,Bilbao,fibra_300,34.95,51,2021-08-15,1
C00326,Barcelona,movil_solo,14.95,15,2024-08-01,1
C00327,Bilbao,fibra_600,41.95,2,2025-08-22,1
C00328,Barcelona,movil_solo,16.95,54,2021-05-15,1
C00329,Barcelona,movil_solo,12.95,3,2025-07-16,0
C00330,Valencia,fibra_300,27.95,8,2025-02-09,1
C00331,Valencia,convergente,59.95,55,2021-04-04,1
C00332,Zaragoza,convergente,61.95,79,2019-05-03,1
C00333,Valencia,fibra_600,41.95,27,2023-07-20,1
C00334,Valencia,movil_solo,16.95,82,2019-01-13,1
C00335,Zaragoza,fibra_600,39.95,56,2021-03-04,1
C00336,Barcelona,fibra_600,39.95,12,2024-10-08,1
C00337,Sevilla,convergente,61.95,8,2025-02-25,1
C00338,Zaragoza,fibra_300,27.95,2,2025-08-11,1
C00339,Madrid,fibra_300,29.95,45,2022-02-04,1
C00340,Zaragoza,fibra_1000,49.95,48,2021-11-18,1
C00341,Valencia,fibra_600,37.95,43,2022-03-27,1
C00342,Bilbao,fibra_600,39.95,74,2019-09-14,1
C00343,Sevilla,convergente,59.95,8,2025-02-19,1
C00344,Barcelona,fibra_1000,49.95,33,2023-01-22,1
C00345,Bilbao,fibra_600,39.95,66,2020-05-31,0
C00346,Madrid,fibra_300,27.95,61,2020-10-17,1
C00347,Barcelona,fibra_300,27.95,71,2019-12-08,1
C00348,Zaragoza,movil_solo,14.95,42,2022-05-14,1
C00349,Zaragoza,fibra_1000,49.95,10,2024-12-18,1
C00350,Bilbao,fibra_600,39.95,29,2023-05-21,1
C00351,Madrid,movil_solo,12.95,60,2020-10-31,1
C00352,Valencia,fibra_1000,47.95,71,2019-12-19,0
C00353,Barcelona,fibra_1000,51.95,39,2022-07-27,1
C00354,Sevilla,fibra_1000,51.95,64,2020-07-06,1
C00355,Zaragoza,convergente,59.95,20,2024-03-11,1
C00356,Madrid,fibra_300,31.95,45,2022-01-31,1
C00357,Madrid,fibra_1000,47.95,49,2021-09-26,1
C00358,Valencia,fibra_600,39.95,68,2020-03-25,1
C00359,Madrid,fibra_300,34.95,36,2022-11-15,0
C00360,Barcelona,convergente,59.95,48,2021-11-08,1
C00361,Madrid,convergente,57.95,65,2020-06-26,1
C00362,Sevilla,fibra_600,41.95,73,2019-11-02,1
C00363,Barcelona,fibra_300,29.95,34,2022-12-20,1
C00364,Sevilla,fibra_1000,49.95,58,2021-01-18,1
C00365,Barcelona,fibra_300,31.95,14,2024-09-03,1
C00366,Sevilla,movil_solo,14.95,53,2021-06-22,1
C00367,Barcelona,movil_solo,14.95,60,2020-11-19,1
C00368,Madrid,fibra_300,34.95,39,2022-07-24,1
C00369,Bilbao,fibra_600,39.95,42,2022-05-17,1
C00370,Barcelona,fibra_1000,49.95,66,2020-05-30,1
C00371,Valencia,fibra_300,27.95,52,2021-06-28,1
C00372,Zaragoza,convergente,59.95,13,2024-09-23,1
C00373,Barcelona,fibra_600,37.95,8,2025-02-08,1
C00374,Barcelona,fibra_300,29.95,52,2021-07-14,1
C00375,Zaragoza,fibra_600,41.95,76,2019-07-28,1
C00376,Madrid,fibra_600,37.95,26,2023-08-16,1
C00377,Barcelona,fibra_600,39.95,16,2024-07-08,1
C00378,Madrid,fibra_300,31.95,56,2021-03-01,1
C00379,Sevilla,fibra_600,39.95,55,2021-04-21,1
C00380,Barcelona,fibra_1000,49.95,58,2020-12-29,1
C00381,Bilbao,convergente,61.95,32,2023-02-25,1
C00382,Sevilla,convergente,59.95,8,2025-03-04,1
C00383,Barcelona,movil_solo,14.95,83,2018-12-10,1
C00384,Barcelona,convergente,57.95,49,2021-09-28,1
C00385,Sevilla,convergente,59.95,45,2022-01-22,1
C00386,Valencia,movil_solo,14.95,24,2023-11-12,1
C00387,Barcelona,fibra_600,39.95,8,2025-02-09,1
C00388,Bilbao,fibra_1000,51.95,30,2023-05-11,1
C00389,Zaragoza,fibra_300,29.95,69,2020-02-05,1
C00390,Zaragoza,fibra_600,39.95,74,2019-09-07,1
C00391,Sevilla,fibra_1000,49.95,23,2023-12-05,1
C00392,Zaragoza,fibra_1000,51.95,4,2025-06-12,1
C00393,Bilbao,convergente,59.95,73,2019-10-28,1
C00394,Sevilla,convergente,59.95,23,2023-11-27,0
C00395,Madrid,fibra_300,31.95,29,2023-06-15,1
C00396,Madrid,fibra_1000,51.95,26,2023-08-19,1
C00397,Zaragoza,fibra_300,29.95,8,2025-03-06,1
C00398,Zaragoza,fibra_300,27.95,68,2020-03-05,1
C00399,Madrid,fibra_1000,54.95,51,2021-08-06,1
C00400,Valencia,fibra_1000,49.95,21,2024-01-18,1
C00401,Zaragoza,movil_solo,19.95,41,2022-06-15,1
C00402,Bilbao,convergente,59.95,29,2023-05-25,1
C00403,Barcelona,movil_solo,14.95,38,2022-09-14,1
C00404,Madrid,convergente,59.95,73,2019-11-02,1
C00405,Valencia,convergente,59.95,82,2019-01-19,1
C00406,Sevilla,fibra_300,29.95,10,2024-12-29,1
C00407,Valencia,fibra_300,34.95,12,2024-10-11,1
C00408,Zaragoza,fibra_1000,49.95,2,2025-08-25,1
C00409,Zaragoza,fibra_600,39.95,33,2023-01-21,1
C00410,Madrid,fibra_600,39.95,57,2021-02-02,1
C00411,Barcelona,movil_solo,14.95,49,2021-10-12,1
C00412,Madrid,movil_solo,16.95,84,2018-11-14,1
C00413,Barcelona,movil_solo,12.95,5,2025-05-26,0
C00414,Valencia,fibra_600,37.95,44,2022-03-17,1
C00415,Barcelona,fibra_600,41.95,12,2024-10-27,1
C00416,Bilbao,movil_solo,19.95,4,2025-06-21,1
C00417,Barcelona,convergente,59.95,21,2024-02-09,1
C00418,Barcelona,fibra_300,29.95,71,2019-12-10,1
C00419,Bilbao,fibra_1000,54.95,37,2022-10-09,1
C00420,Madrid,movil_solo,16.95,71,2019-12-07,1
C00421,Madrid,fibra_1000,47.95,55,2021-04-24,1
C00422,Zaragoza,convergente,59.95,26,2023-09-10,0
C00423,Barcelona,fibra_1000,47.95,61,2020-10-01,1
C00424,Sevilla,movil_solo,14.95,34,2023-01-14,1
C00425,Sevilla,fibra_300,29.95,49,2021-10-12,1
C00426,Madrid,fibra_1000,49.95,60,2020-11-19,1
C00427,Valencia,convergente,57.95,20,2024-02-16,1
C00428,Madrid,fibra_600,44.95,45,2022-01-26,1
C00429,Bilbao,fibra_300,31.95,8,2025-02-08,1
C00430,Bilbao,movil_solo,16.95,61,2020-10-10,1
C00431,Sevilla,fibra_1000,47.95,51,2021-07-27,1
C00432,Madrid,convergente,61.95,67,2020-04-06,1
C00433,Bilbao,fibra_300,27.95,58,2021-01-21,1
C00434,Barcelona,fibra_300,29.95,17,2024-06-08,1
C00435,Zaragoza,movil_solo,14.95,81,2019-03-04,1
C00436,Valencia,fibra_1000,54.95,9,2025-02-02,1
C00437,Sevilla,convergente,59.95,36,2022-11-01,1
C00438,Madrid,convergente,61.95,67,2020-04-06,1
C00439,Sevilla,fibra_300,29.95,73,2019-10-16,1
C00440,Madrid,fibra_600,41.95,13,2024-09-12,1
C00441,Bilbao,fibra_1000,49.95,34,2023-01-04,1
C00442,Bilbao,convergente,59.95,5,2025-05-30,1
C00443,Barcelona,convergente,61.95,52,2021-07-24,1
C00444,Valencia,fibra_300,27.95,61,2020-09-29,1
C00445,Valencia,fibra_600,39.95,39,2022-08-10,1
C00446,Sevilla,fibra_600,39.95,18,2024-05-01,1
C00447,Sevilla,fibra_1000,49.95,54,2021-05-07,1
C00448,Barcelona,movil_solo,14.95,53,2021-06-02,1
C00449,Bilbao,fibra_1000,47.95,66,2020-05-06,1
C00450,Valencia,convergente,59.95,18,2024-04-16,1
C00451,Bilbao,fibra_600,39.95,25,2023-09-15,1
C00452,Madrid,fibra_300,27.95,59,2020-12-26,1
C00453,Zaragoza,fibra_300,29.95,48,2021-10-27,1
C00454,Sevilla,fibra_600,44.95,4,2025-06-27,1
