customer_id,region,contract_type,monthly_price,customer_tenure_months,avg_download_speed,expected_download_speed,service_interruptions_30d,interruption_minutes_30d,num_tickets_30d,num_complaints_30d,call_center_contacts_30d,avg_resolution_hours,satisfaction_score,last_ticket_text,churn,high_priority_ticket,network_anomaly
C00023,Bilbao,fibra_600,44.95,67,513.2,600,6,425.5,3,1,2,41.7,4.9,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00024,Zaragoza,fibra_600,39.95,7,449.2,600,5,435.2,2,1,1,12.6,6.6,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00025,Barcelona,movil_solo,14.95,62,68.5,100,5,401.9,2,0,2,33.9,5.9,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00026,Valencia,fibra_300,31.95,56,150.8,300,6,214.8,4,2,2,36.3,5.1,"Intermitencias por la noche, molesto pero usable.",1,0,1
C00027,Sevilla,movil_solo,19.95,27,78.0,100,4,26.9,3,1,3,18.9,6.5,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00028,Bilbao,movil_solo,14.95,72,54.1,100,4,265.7,1,0,0,16.4,7.6,Tardaron en resolver pero al final lo arreglaron.,0,0,1
C00029,Barcelona,movil_solo,14.95,56,87.2,100,3,71.5,3,0,3,8.2,7.1,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00030,Sevilla,fibra_600,41.95,63,415.2,600,8,344.5,6,2,5,29.2,5.0,"Cortes constantes desde hace semanas, atencion al cliente pesima.",1,1,0
C00031,Bilbao,fibra_300,31.95,62,161.3,300,7,469.9,4,2,2,44.4,3.5,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,1
C00032,Zaragoza,movil_solo,12.95,78,69.8,100,5,53.9,4,0,3,26.8,5.9,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00033,Sevilla,fibra_1000,49.95,58,708.0,1000,5,84.4,2,1,2,33.3,5.0,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00034,Barcelona,fibra_1000,49.95,58,879.2,1000,4,22.2,3,1,3,27.5,5.5,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00035,Zaragoza,convergente,57.95,75,291.6,600,3,19.6,2,0,1,11.5,8.2,"Intermitencias por la noche, molesto pero usable.",0,0,1
C00036,Zaragoza,fibra_300,34.95,63,227.0,300,14,626.3,7,2,7,47.9,2.7,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,1,1
C00037,Madrid,convergente,59.95,44,372.0,600,4,218.3,3,1,3,16.8,6.3,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00038,Barcelona,movil_solo,12.95,7,72.7,100,5,55.2,3,1,2,32.8,4.9,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00039,Valencia,movil_solo,12.95,55,54.9,100,7,126.4,5,2,4,33.2,4.8,Tardaron en resolver pero al final lo arreglaron.,0,1,0
C00040,Barcelona,fibra_300,29.95,46,266.7,300,5,277.4,3,1,2,20.7,6.7,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00041,Barcelona,fibra_300,27.95,54,277.4,300,3,157.8,1,0,1,27.7,7.5,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00042,Zaragoza,fibra_600,39.95,52,317.5,600,8,442.8,4,0,3,35.5,5.0,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",0,0,1
C00043,Valencia,movil_solo,16.95,70,52.3,100,10,350.1,6,2,6,35.1,3.8,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,1
C00044,Zaragoza,movil_solo,19.95,14,65.8,100,11,247.9,6,2,5,59.0,2.3,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,1
C00045,Valencia,fibra_300,29.95,64,250.3,300,9,264.8,4,2,3,18.5,4.4,"Cortes constantes desde hace semanas, atencion al cliente pesima.",1,1,0
C00046,Valencia,fibra_1000,54.95,47,507.1,1000,5,62.8,3,1,2,14.0,6.3,Tardaron en resolver pero al final lo arreglaron.,0,0,1
C00047,Madrid,fibra_600,37.95,54,394.3,600,9,612.4,4,2,2,43.1,3.2,"Cuarta averia este mes, el tecnico no resuelve nada.",1,0,1
C00048,Madrid,convergente,59.95,33,385.2,600,5,72.8,4,1,2,23.1,5.7,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00049,Sevilla,convergente,61.95,41,477.0,600,5,293.6,2,0,2,35.7,6.5,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00050,Bilbao,fibra_600,41.95,53,443.4,600,8,658.4,6,3,4,55.7,2.3,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00051,Zaragoza,fibra_300,27.95,71,179.5,300,9,205.3,3,2,2,7.6,6.1,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,0,1
C00052,Zaragoza,movil_solo,12.95,38,58.0,100,9,716.9,6,2,6,45.5,3.1,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,1
C00053,Madrid,fibra_600,39.95,21,405.0,600,3,105.8,1,0,1,6.3,7.2,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00054,Sevilla,fibra_1000,47.95,11,489.4,1000,3,187.9,1,0,1,26.0,7.1,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00055,Bilbao,fibra_300,29.95,67,194.0,300,5,202.9,3,0,1,28.5,6.4,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00056,Valencia,fibra_300,29.95,14,232.9,300,8,646.3,5,2,3,17.9,4.5,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00057,Madrid,fibra_600,44.95,53,521.9,600,5,49.1,3,2,3,38.0,4.9,"Router se reinicia a veces, consultar si es normal.",1,0,0
C00058,Zaragoza,convergente,64.95,84,461.1,600,8,71.2,3,1,3,22.9,5.7,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",0,0,0
C00059,Zaragoza,fibra_1000,54.95,15,679.4,1000,4,173.5,2,0,2,34.1,6.7,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00060,Zaragoza,fibra_600,41.95,51,437.3,600,3,251.7,3,1,2,39.3,5.9,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00061,Sevilla,fibra_600,39.95,6,301.3,600,6,538.6,4,1,4,38.1,5.4,"Intermitencias por la noche, molesto pero usable.",1,0,1
C00062,Madrid,convergente,59.95,23,489.1,600,5,380.0,3,1,2,23.4,6.5,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00063,Barcelona,fibra_1000,49.95,58,811.5,1000,4,102.3,2,0,2,14.9,7.3,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00064,Sevilla,fibra_300,29.95,9,248.7,300,9,582.1,6,3,5,37.1,3.8,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00065,Zaragoza,fibra_300,31.95,1,234.3,300,13,184.6,5,1,4,65.2,1.5,"Cortes constantes desde hace semanas, atencion al cliente pesima.",1,1,1
C00066,Bilbao,fibra_600,41.95,14,551.5,600,8,474.6,4,0,3,26.9,5.8,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",0,0,0
C00067,Sevilla,fibra_1000,49.95,36,663.1,1000,10,319.7,6,3,7,43.7,3.9,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,0
C00068,Barcelona,convergente,57.95,16,397.3,600,7,583.4,5,3,6,40.8,4.2,"Subida de cuota inesperada, quiero aclaracion.",1,1,0
C00069,Valencia,fibra_300,27.95,43,157.7,300,10,457.6,5,2,6,13.9,4.6,"Cortes constantes desde hace semanas, atencion al cliente pesima.",1,1,1
C00070,Valencia,movil_solo,14.95,32,71.0,100,6,54.0,3,1,3,19.9,5.8,"Router se reinicia a veces, consultar si es normal.",1,0,0
C00071,Zaragoza,convergente,59.95,58,318.6,600,9,155.0,6,1,5,60.0,2.8,"Cortes constantes desde hace semanas, atencion al cliente pesima.",1,1,1
C00072,Zaragoza,fibra_1000,54.95,61,625.0,1000,2,36.5,0,0,0,9.0,7.9,"Todo correcto, solo queria informacion de promociones.",0,0,0
C00073,Bilbao,movil_solo,12.95,59,64.6,100,7,295.9,4,1,5,42.3,4.9,Tardaron en resolver pero al final lo arreglaron.,1,0,0
C00074,Zaragoza,fibra_300,29.95,22,205.5,300,3,36.0,1,0,1,24.8,7.6,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00075,Barcelona,movil_solo,14.95,83,58.9,100,5,315.0,3,1,3,16.9,7.1,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00076,Barcelona,convergente,64.95,79,331.9,600,5,114.8,2,1,2,20.4,6.3,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00077,Madrid,convergente,61.95,14,545.7,600,4,250.1,4,2,4,35.7,6.0,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00078,Madrid,fibra_1000,51.95,43,781.7,1000,5,237.9,3,1,2,28.5,6.4,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00079,Barcelona,movil_solo,16.95,3,79.8,100,4,311.8,4,1,3,14.7,7.5,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00080,Zaragoza,fibra_600,44.95,57,372.3,600,5,414.0,3,0,4,25.8,6.9,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00081,Madrid,fibra_600,41.95,67,543.4,600,6,359.4,3,2,2,10.7,5.8,Tardaron en resolver pero al final lo arreglaron.,1,0,0
C00082,Zaragoza,fibra_1000,49.95,84,639.3,1000,10,892.4,4,1,3,29.6,4.9,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",0,0,1
C00083,Valencia,fibra_600,44.95,28,362.4,600,2,87.9,2,1,2,29.6,7.1,Pregunta sobre la factura de este mes.,0,0,0
C00084,Madrid,convergente,59.95,54,560.7,600,10,287.4,6,2,4,46.2,3.5,"Cortes constantes desde hace semanas, atencion al cliente pesima.",1,1,0
C00085,Barcelona,fibra_300,29.95,36,205.0,300,5,128.5,2,1,1,6.8,7.7,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00086,Madrid,fibra_600,39.95,19,518.9,600,10,146.4,5,2,4,22.3,4.6,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,1,0
C00087,Valencia,convergente,59.95,56,342.3,600,10,420.4,4,1,4,16.9,4.9,"Cuarta averia este mes, el tecnico no resuelve nada.",1,0,1
C00088,Madrid,fibra_1000,49.95,41,728.1,1000,7,408.0,5,2,3,27.4,5.0,"Intermitencias por la noche, molesto pero usable.",0,1,0
C00089,Madrid,convergente,59.95,84,364.4,600,7,125.3,3,1,2,31.9,4.7,"Router se reinicia a veces, consultar si es normal.",1,0,1
C00090,Sevilla,fibra_300,34.95,82,144.3,300,6,457.8,4,1,4,36.2,5.0,"Intermitencias por la noche, molesto pero usable.",0,0,1
C00091,Valencia,fibra_1000,47.95,75,864.7,1000,9,226.4,5,2,6,34.5,4.3,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00092,Sevilla,fibra_300,27.95,27,207.6,300,4,186.9,2,1,2,37.0,5.2,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00093,Bilbao,convergente,59.95,1,512.3,600,7,478.5,3,1,3,29.5,6.1,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00094,Madrid,movil_solo,14.95,57,94.0,100,4,38.2,2,1,1,39.0,6.1,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00095,Zaragoza,movil_solo,14.95,8,68.3,100,7,110.0,3,1,3,31.7,5.9,"Router se reinicia a veces, consultar si es normal.",1,0,0
C00096,Bilbao,fibra_300,27.95,7,214.5,300,8,189.7,6,2,6,22.0,4.6,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,0
C00097,Zaragoza,fibra_600,37.95,23,341.3,600,2,27.7,2,0,2,13.5,8.4,Consulta sobre la tarifa de fibra 1000.,0,0,0
C00098,Valencia,fibra_600,41.95,16,348.2,600,8,353.2,4,1,4,37.1,4.5,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,0,1
C00099,Barcelona,fibra_300,31.95,11,240.3,300,1,61.2,1,0,1,10.5,8.7,Cambio de titular del contrato.,0,0,0
C00100,Sevilla,movil_solo,14.95,13,67.6,100,9,738.9,4,2,4,38.7,4.3,"Cortes constantes desde hace semanas, atencion al cliente pesima.",1,1,0
C00101,Bilbao,fibra_300,31.95,21,279.3,300,9,175.7,5,2,3,24.6,4.9,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,0
C00102,Madrid,fibra_1000,49.95,38,929.9,1000,8,507.2,5,1,4,56.9,4.1,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,0
C00103,Barcelona,movil_solo,19.95,77,67.8,100,0,0.0,0,0,0,9.7,8.2,Cambio de titular del contrato.,0,0,0
C00104,Barcelona,fibra_1000,54.95,20,758.7,1000,5,318.4,2,1,1,15.5,6.6,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00105,Sevilla,convergente,59.95,70,503.1,600,4,250.1,2,0,2,38.5,6.7,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00106,Madrid,fibra_600,41.95,73,386.9,600,3,184.8,1,0,1,25.4,6.7,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00107,Sevilla,movil_solo,16.95,14,81.5,100,9,454.7,4,2,3,47.7,2.9,"Cuarta averia este mes, el tecnico no resuelve nada.",1,0,0
C00108,Zaragoza,convergente,59.95,7,363.0,600,10,344.7,4,1,3,52.2,3.2,"Cuarta averia este mes, el tecnico no resuelve nada.",1,0,1
C00109,Barcelona,fibra_600,41.95,76,496.1,600,5,353.1,3,1,3,27.1,6.3,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00110,Valencia,fibra_600,37.95,42,417.5,600,8,207.5,4,1,4,51.7,3.6,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,0,0
C00111,Barcelona,fibra_600,44.95,50,560.5,600,5,281.8,2,0,2,23.5,7.1,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00112,Zaragoza,convergente,57.95,60,334.9,600,6,418.7,4,0,2,32.4,6.5,"Subida de cuota inesperada, quiero aclaracion.",0,0,1
C00113,Barcelona,movil_solo,14.95,64,59.8,100,1,13.4,2,0,1,13.9,8.4,Pregunta sobre la factura de este mes.,0,0,0
C00114,Sevilla,movil_solo,14.95,19,48.5,100,5,332.5,3,1,2,29.4,5.4,"Router se reinicia a veces, consultar si es normal.",0,0,1
C00115,Zaragoza,convergente,61.95,69,414.3,600,7,523.2,3,0,2,23.1,5.4,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00116,Zaragoza,convergente,57.95,71,461.8,600,10,677.3,4,2,2,57.1,2.2,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,1,0
C00117,Valencia,fibra_300,29.95,59,211.9,300,5,169.9,3,2,4,16.5,6.0,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00118,Valencia,movil_solo,14.95,28,50.8,100,9,226.5,4,2,4,25.5,4.9,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,1,1
C00119,Zaragoza,movil_solo,14.95,56,57.1,100,7,335.3,4,1,3,52.3,4.8,"Intermitencias por la noche, molesto pero usable.",0,0,1
C00120,Madrid,fibra_1000,49.95,50,644.0,1000,12,173.9,6,2,5,61.1,2.4,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,1
C00121,Bilbao,fibra_1000,51.95,8,854.9,1000,8,483.6,5,3,3,21.2,5.2,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00122,Valencia,movil_solo,19.95,65,64.1,100,5,401.8,4,2,4,28.9,6.1,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00123,Bilbao,fibra_300,27.95,84,178.5,300,3,135.5,2,0,1,5.1,8.4,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00124,Sevilla,fibra_300,34.95,8,157.4,300,5,357.6,3,2,2,9.6,6.7,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00125,Bilbao,fibra_1000,47.95,82,772.4,1000,4,97.6,4,2,2,33.1,5.3,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00126,Barcelona,fibra_1000,54.95,36,769.1,1000,9,173.3,6,1,5,42.9,3.7,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00127,Zaragoza,fibra_600,37.95,22,351.8,600,10,687.8,5,1,5,27.4,4.1,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,1,1
C00128,Valencia,fibra_1000,49.95,16,803.2,1000,8,208.9,3,1,3,35.1,5.1,"Cuarta averia este mes, el tecnico no resuelve nada.",0,0,0
C00129,Sevilla,fibra_600,39.95,78,406.4,600,7,118.6,3,1,3,28.1,5.5,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00130,Sevilla,movil_solo,16.95,66,70.5,100,8,668.2,5,1,6,46.4,3.5,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,0
C00131,Sevilla,movil_solo,14.95,49,85.0,100,10,852.8,5,2,5,58.9,2.9,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,0
C00132,Bilbao,fibra_300,29.95,68,261.1,300,4,185.3,2,0,2,14.9,6.7,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00133,Zaragoza,fibra_1000,49.95,83,533.3,1000,4,100.4,1,0,1,25.9,7.5,Tardaron en resolver pero al final lo arreglaron.,0,0,1
C00134,Barcelona,convergente,59.95,42,584.5,600,9,596.2,4,1,3,51.7,3.1,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,0,0
C00135,Valencia,fibra_600,44.95,41,505.5,600,10,885.6,4,1,5,54.6,4.1,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,0,0
C00136,Barcelona,fibra_300,31.95,37,239.3,300,7,417.2,3,1,2,41.5,4.6,"Router se reinicia a veces, consultar si es normal.",1,0,0
C00137,Zaragoza,fibra_300,29.95,6,155.0,300,8,219.8,3,1,2,18.9,4.9,"Cuarta averia este mes, el tecnico no resuelve nada.",1,0,1
C00138,Madrid,fibra_600,39.95,39,592.2,600,15,151.7,8,2,5,69.3,1,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00139,Madrid,movil_solo,12.95,19,82.0,100,4,280.3,3,1,3,30.1,6.4,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00140,Madrid,fibra_1000,49.95,50,962.1,1000,9,687.0,5,3,2,57.4,2.3,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00141,Sevilla,fibra_1000,54.95,57,724.5,1000,5,312.9,4,1,4,40.2,5.0,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00142,Zaragoza,fibra_600,44.95,4,441.6,600,0,0.0,0,0,0,3.9,9.5,"Todo correcto, solo queria informacion de promociones.",0,0,0
C00143,Valencia,convergente,59.95,27,530.7,600,5,86.4,2,1,3,17.3,7.0,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00144,Madrid,fibra_600,41.95,43,450.3,600,3,202.6,1,0,1,12.4,7.6,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00145,Valencia,movil_solo,16.95,10,81.7,100,6,313.5,2,1,1,47.4,4.8,"Intermitencias por la noche, molesto pero usable.",1,0,0
C00146,Valencia,movil_solo,14.95,56,87.4,100,12,978.2,4,2,3,30.4,4.4,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,1,0
C00147,Madrid,fibra_300,27.95,42,209.6,300,5,84.6,2,1,1,32.3,6.3,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00148,Sevilla,fibra_1000,47.95,42,586.2,1000,5,369.1,2,1,1,3.7,6.9,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00149,Bilbao,convergente,59.95,59,532.6,600,10,406.4,5,3,4,44.7,2.3,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,0
C00150,Barcelona,fibra_1000,54.95,30,552.0,1000,2,172.2,2,1,1,24.3,6.3,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00151,Madrid,fibra_300,29.95,7,287.2,300,7,566.3,5,2,5,16.9,6.3,Tardaron en resolver pero al final lo arreglaron.,1,1,0
C00152,Bilbao,fibra_600,39.95,6,361.9,600,7,604.9,3,1,2,13.9,5.4,Tardaron en resolver pero al final lo arreglaron.,1,0,1
C00153,Valencia,convergente,61.95,29,398.0,600,1,65.6,0,0,0,32.2,6.6,Pregunta sobre la factura de este mes.,0,0,0
C00154,Sevilla,movil_solo,14.95,76,60.3,100,7,272.8,3,0,3,36.8,5.2,"Router se reinicia a veces, consultar si es normal.",0,0,1
C00155,Madrid,fibra_1000,47.95,10,617.2,1000,0,0.0,0,0,0,7.3,9.2,"Todo correcto, solo queria informacion de promociones.",0,0,0
C00156,Madrid,fibra_600,41.95,8,427.6,600,3,16.3,4,0,3,16.8,7.4,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00157,Zaragoza,convergente,59.95,55,283.5,600,6,270.5,3,1,2,27.8,6.3,"Router se reinicia a veces, consultar si es normal.",0,0,1
C00158,Zaragoza,fibra_300,29.95,39,224.8,300,10,205.6,6,2,4,35.5,4.1,"Cuarta averia este mes, el tecnico no resuelve nada.",1,1,0
C00159,Madrid,convergente,61.95,66,499.5,600,4,189.6,2,0,1,9.8,7.9,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00160,Barcelona,fibra_1000,51.95,68,562.3,1000,6,400.4,2,1,3,20.7,6.6,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00161,Madrid,fibra_1000,49.95,57,623.6,1000,4,235.5,2,1,2,25.7,6.3,"Router se reinicia a veces, consultar si es normal.",0,0,0
C00162,Zaragoza,fibra_1000,47.95,73,611.3,1000,10,140.1,5,3,4,41.4,3.1,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,1
C00163,Barcelona,movil_solo,16.95,2,93.9,100,9,711.3,5,3,6,22.0,4.1,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,1,0
C00164,Madrid,fibra_1000,54.95,43,998.0,1000,4,122.7,1,0,1,21.4,7.5,"Intermitencias por la noche, molesto pero usable.",0,0,0
C00165,Valencia,movil_solo,14.95,26,51.9,100,10,597.0,4,1,5,42.3,3.5,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,0,1
C00166,Madrid,movil_solo,19.95,61,78.4,100,4,236.4,3,0,1,27.7,7.0,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00167,Madrid,fibra_600,39.95,16,492.1,600,8,156.2,4,1,3,37.5,4.0,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",0,0,0
C00168,Zaragoza,fibra_600,44.95,56,444.0,600,6,301.1,3,1,3,45.8,4.3,Tardaron en resolver pero al final lo arreglaron.,0,0,0
C00169,Zaragoza,fibra_600,37.95,6,363.0,600,13,979.0,8,3,7,38.2,3.1,"Cortes constantes desde hace semanas, atencion al cliente pesima.",1,1,1
C00170,Zaragoza,fibra_300,29.95,6,134.6,300,14,605.6,7,3,7,34.8,2.4,"Sin servicio tres dias seguidos, nadie da solucion, voy a darme de baja.",1,1,1
C00171,Barcelona,movil_solo,16.95,68,73.1,100,4,245.0,2,0,1,34.3,6.5,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00172,Barcelona,fibra_1000,54.95,78,560.2,1000,2,108.5,2,0,2,32.8,6.1,"Subida de cuota inesperada, quiero aclaracion.",0,0,0
C00173,Zaragoza,fibra_300,34.95,34,205.2,300,1,66.9,1,0,1,14.1,8.7,"Todo correcto, solo queria informacion de promociones.",0,0,0
C00174,Bilbao,movil_solo,16.95,70,79.8,100,1,70.5,1,0,1,11.0,8.6,Consulta sobre la tarifa de fibra 1000.,0,0,0
C00175,Valencia,convergente,57.95,40,340.2,600,9,219.7,4,1,4,43.4,4.0,"Velocidad ridicula comparada con lo que pago, harto de reclamar.",1,0,0
